Time,Comment,Scramble,Date
19.3663330078125,"",R' D' L2 U2 F L2 D2 R2 D2 L U R' B' D2 B2 R2 U2 L2,2025-01-20 11:30:02 +0000
25.43429708480835,"",U' B2 U' L2 D2 B2 R2 B2 F' U' B2 U' B R B F2 L F2 D',2025-01-27 06:15:11 +0000
23.199650049209595,"",L D2 L2 D2 F' L' U F' D L F' L U2 R2 F2 L' U2 L' D2,2025-01-30 08:04:25 +0000
21.501965045928955,"",U' F2 U2 L B2 R2 F' L2 D2 F2 U' F2 L2 D' L2 D B2 F' R,2025-01-19 11:19:43 +0000
18.967311024665833,"",B2 D2 B R U' R D' U2 F2 L2 B2 R' U2 L' F2 R' D F' L2,2025-01-16 09:02:31 +0000
22.99789297580719,"",R B' D2 B2 R' F2 U2 B2 D2 L2 D' U' R B' U' L' D2 F2,2025-01-19 16:08:41 +0000
22.73331904411316,"",R U' F2 D2 F' R2 D2 B R2 F U' F L' B L' F L R2,2025-01-20 11:40:05 +0000
21.334178924560547,"",R' F R B' U R B' D' F2 L F U2 R2 L2 F' L2 F2 B',2025-01-27 06:25:43 +0000
21.26596689224243,"",L' D F R' F' L U F' R' D2 F2 R2 D2 R2 D2 B2 R U2 L' B,2025-01-17 18:15:53 +0000
21.16495406627655,"",F' B D2 L B' U2 B2 U D' F' D2 F2 L2 D L2 D R2 D B2,2025-01-17 11:51:04 +0000
19.532629013061523,"",R' L U' B U D F2 U D2 F2 R' L2 F2 D2 R2 B2 U F2,2025-01-20 11:21:43 +0000
21.267669081687927,"",U2 R' D2 L U2 L' F2 L2 D2 F2 U R2 B R U2 F R2 B R',2025-01-20 12:42:12 +0000
21.865337014198303,"",B2 R2 B D2 B' L2 B' R2 U2 F' D' R2 D2 F2 R' U2 F' R B' D,2025-01-27 09:02:59 +0000
19.463685035705566,"",L2 B' U2 R' B' R2 F' U2 F2 L2 F' R2 U' L2 R U L B' F',2025-01-17 12:03:27 +0000
27.733948945999146,"N Perm not learned :(",U F L' F U2 R D' R' U2 R' F2 U2 B2 D2 F2 U2 L B U',2025-01-17 18:14:06 +0000
20.901190996170044,"",U' L U' D' L' D2 B' U R2 U' F2 U' R2 U2 B2 U' R F2,2025-01-19 17:19:37 +0000
23.665390014648438,"",D' R2 B2 R2 U2 L2 B R' B F' D' U' B2 L' U' B2 D' R',2025-01-20 13:04:59 +0000
24.36837100982666,"",L2 B2 L2 B L2 B' D2 F' D B2 U F' D2 R' B U' B R',2025-01-27 11:10:37 +0000
19.534438014030457,"Hello",F U' F B L U2 B R B2 U2 R2 U2 R L2 D2 F2 R' B D,2025-01-08 09:01:02 +0000
23.569728016853333,"",L2 B2 U2 F' U2 B' L2 B2 D B2 R F' D B2 L' F D' L R2,2025-01-17 18:22:28 +0000
20.765141010284424,"",F2 U L U2 D' F' L2 U F2 B' R U' L2 U' R2 U B2 D,2025-01-20 08:58:05 +0000
21.93236207962036,"",R U2 L2 R' D2 L2 U' L2 R B' U' R2 U L F2 R,2025-01-21 11:13:22 +0000
27.068480014801025,"",F D2 R2 B2 R2 U' B2 R2 D B2 R B' D' L D' U' B' L2 F' U,2025-01-27 17:59:16 +0000
22.70173692703247,"",L2 F L' U B R2 L' F R' F U B2 U2 R' B2 L D2 B2 L2,2025-01-19 11:34:07 +0000
